auctioneer_url,lat,lng,state,city,zip,address,auctions
https://www.liveauctioneers.com/auctioneer/1368/elegance-gallery-and-auctioneers/,34.0888,-118.044,CA,El Monte,91731,4601 Arden Dr.,92.0
https://www.liveauctioneers.com/auctioneer/1373/akiba-galleries/,26.0527,-80.1444,FL,Dania Beach,33004,12 NW 1st Ave,188.0
https://www.liveauctioneers.com/auctioneer/1379/great-estates-auctioneers-and-appraisers/,41.3732,-74.6919,NY,PORT JERVIS,12771,40 FRONT STREET,62.0
https://www.liveauctioneers.com/auctioneer/1388/scheerer-mcculloch-auctioneers-inc/,40.7453,-84.9413,IN,Fort Wayne,46809,4420 Ardmore Ave.,101.0
https://www.liveauctioneers.com/auctioneer/1390/cave-creek-auction/,33.8321,-111.949,AZ,Cave Creek,85331,6061 E Cave Creek Road,12.0
https://www.liveauctioneers.com/auctioneer/1395/kraft-auction-service/,41.4409,-86.9798,IN,Valparaiso,46383,48 N 450 E,83.0
https://www.liveauctioneers.com/auctioneer/1396/the-saucon-valley-auction/,40.5772,-75.4745,PA,Allentown,18103,1901 S 12th St. 2nd Floor 2nd Floor,38.0
https://www.liveauctioneers.com/auctioneer/1400/mba-seattle-auction/,47.4796,-122.207,WA,Renton,98057,717 S. 3rd St PO Box 1617,112.0
https://www.liveauctioneers.com/auctioneer/1405/greater-london-auctions/,29.7891,-95.5214,TX,Houston ,77055,1200 Blalock Road #109,18.0
https://www.liveauctioneers.com/auctioneer/1406/king-s-auctions-inc/,33.5962,-117.87,CA,Corona Del Mar,92625,3334 E Coast Highway,59.0
https://www.liveauctioneers.com/auctioneer/1409/arus-auctions/,42.3482,-71.5544,MA,Framingham,01701,39 Ledgewood Rd ,35.0
https://www.liveauctioneers.com/auctioneer/1412/gorman-auctions/,38.8978,-104.868,CO,Colorado Springs,80907,2150 Garden of the Gods Rd Ste B (In Willowstone Marketplace),2.0
https://www.liveauctioneers.com/auctioneer/1413/robert-murphy-auctions/,41.5862,-72.7981,CT,Kensington,06037,116 Longview Drive,5.0
https://www.liveauctioneers.com/auctioneer/1417/echoes-antiques-and-auction-gallery-inc/,40.6651,-73.499,NY,Seaford,11783,3823 Merrick Road ,135.0
https://www.liveauctioneers.com/auctioneer/1435/carrolls-auctioneers-and-appraisers/,41.2874,-72.6855,CT,Guilford,06437,101 Fair Street,79.0
https://www.liveauctioneers.com/auctioneer/1437/the-red-bella-rose/,41.5628,-72.6498,CT,Middletown,06457,54 Washington Street,36.0
https://www.liveauctioneers.com/auctioneer/1440/pangaea-auctions/,26.8422,-80.0878,NV,Carson City,89703,311 South Division Street,23.0
https://www.liveauctioneers.com/auctioneer/1451/stampler-auctions/,26.046,-80.2181,FL,Davie,33314,5412 Stirling Road,20.0
https://www.liveauctioneers.com/auctioneer/1459/material-culture/,40.0158,-75.173,PA,Philadelphia,19144,4700 Wissahickon Ave. Suite 101,199.0
https://www.liveauctioneers.com/auctioneer/1460/18th-place-auction-inc/,27.6353,-80.3965,FL,Vero Beach,32960,1103 18th Place,2.0
https://www.liveauctioneers.com/auctioneer/1479/hess-fine-auctions/,27.7838,-82.6385,FL,St Petersburg,33701,1131 4th Street N,50.0
https://www.liveauctioneers.com/auctioneer/1480/aaron-joseph-llc/,30.4328,-84.293,FL,Tallahassee,32310,644 McDonnell Dr Suite 2,11.0
https://www.liveauctioneers.com/auctioneer/1484/auctions-by-b-langston-llc/,30.3064,-81.6504,FL,Jacksonville,32211,6126 Atlantic Blvd,141.0
https://www.liveauctioneers.com/auctioneer/1491/tamarkin-rare-camera-auctions/,41.8972,-87.6352,IL,Chicago,60610,213 West Institute Place #403,10.0
https://www.liveauctioneers.com/auctioneer/1499/churchill-s-auction-gallery/,30.2661,-97.7396,TX,Austin,78701,410 East 5th Street,2.0
https://www.liveauctioneers.com/auctioneer/1502/the-gallery-on-roosevelt/,41.3284,-73.1045,CT,Derby,06418,300 Roosevelt Drive,3.0
https://www.liveauctioneers.com/auctioneer/1529/the-sell-it-now-store/,43.0352,-88.05,WI,Waukesha,53188,2315 Badger Drive Unit 1,3.0
https://www.liveauctioneers.com/auctioneer/1541/worldwide-auctioneers/,41.333,-85.0915,IN,Auburn,46706,5634 Opportunity Blvd. Suite A,36.0
https://www.liveauctioneers.com/auctioneer/1581/rr-auction/,42.8234,-71.6125,MA,Boston,02108,1 Beacon St,135.0
https://www.liveauctioneers.com/auctioneer/1599/revolving-vault-auction-and-estate-services/,29.7385,-95.4069,TX,Houston,77098,1847 West Alabama,9.0
https://www.liveauctioneers.com/auctioneer/1613/ny-nj-estate-and-auction-services/,41.6485,-74.5897,NY,Glen Wild,12738,351 Glen Wild Road,12.0
https://www.liveauctioneers.com/auctioneer/1630/quinn-s-auction-galleries-central-virginia/,38.0624,-78.4881,VA,Troy,23093     ,8845 Three Notch Road,54.0
https://www.liveauctioneers.com/auctioneer/1640/rare-era-sellandbidwellcom/,28.1461,-82.7568,FL,Tarpon Springs,34689,Funk & Wallace Inc. 114 E. Tarpon Ave. Suite #1,45.0
https://www.liveauctioneers.com/auctioneer/1642/wooten-and-wooten-auctioneers/,34.2451,-80.6074,SC,Camden,29020,818 Broad St.,49.0
https://www.liveauctioneers.com/auctioneer/1654/florida-auctions/,28.0736,-80.655,FL,West Melbourne,32904,,10.0
https://www.liveauctioneers.com/auctioneer/170/auctions-neapolitan/,26.147496,-81.797101,FL,Naples,34104,3196 Davis Blvd,157.0
https://www.liveauctioneers.com/auctioneer/1708/the-auction-house-sacramento/,38.581,-121.311,CA,Sacramento,95827,10076 Mills Station Road,90.0
https://www.liveauctioneers.com/auctioneer/171/soulis-auctions/,38.874,-94.1892,MO,Lone Jack,64070,529 W. Lone Jack-Lee's Summit Rd P.O. Box 17,381.0
https://www.liveauctioneers.com/auctioneer/174/richard-d-hatch-and-associates/,35.2928,-82.3777,NC,Flat Rock,28731,913 Upward Road,90.0
https://www.liveauctioneers.com/auctioneer/1746/north-american-auction-co/,45.6627,-110.958,MT,Bozeman,59715,34156 E Frontage Rd,104.0
https://www.liveauctioneers.com/auctioneer/175/alderfer-auction/,40.2718,-75.3173,PA,Hatfield,19440,501 Fairgrounds Road,327.0
https://www.liveauctioneers.com/auctioneer/177/william-j-jenack-auctioneers/,41.36383,-74.275848,NY,Chester,10918,18 Hambletonian Avenue,355.0
https://www.liveauctioneers.com/auctioneer/179/quinn-s-auction-galleries/,38.880581,-77.174625,VA,Falls Church,22046,360 S. Washington St.,285.0
https://www.liveauctioneers.com/auctioneer/1841/centurion-auctions/,30.4234,-84.2276,FL,Tallahassee,32301,1668 Capital Circle SE,86.0
https://www.liveauctioneers.com/auctioneer/1874/ahlers-and-ogletree-auction-gallery/,33.804,-84.4272,GA,Atlanta,30318,1788 Ellsworth Industrial Boulevard NW,131.0
https://www.liveauctioneers.com/auctioneer/1910/connoisseur-auctions/,34.26,-85.17,GA,Rome,30162,P.O. Box 849,311.0
https://www.liveauctioneers.com/auctioneer/1912/pace-auctions/,42.0388,-87.8905,IL,Des Plaines,60016,794 Lee St,45.0
