title,date,price,cats,final_bidder,auctioneer,img,url,auctioneer_url
NAZI DAF/WORKERS FRONT ORIGINAL INSIGNIA,"Sep 25, 2013",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20336107_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20336107_nazi-dafworkers-front-original-insignia,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI POLICE GOTT MIT UNS ORIGINAL BELT &amp; BUCKLE VA 418,"Sep 25, 2013",,,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20336109_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20336109_nazi-police-gott-mit-uns-original-belt-and-buckle-va-418,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI RUSSIAN FRONT AWARD MEDAL-ORIG-EAGLE/SWASTIKA,"Sep 25, 2013",,,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20336157_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20336157_nazi-russian-front-award-medal-orig-eagleswastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI LUFTWAFFE MESS HALL SPOON-W/LUFT EAGLE/SWASTIKA,"Sep 25, 2013",$85,Collectibles,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/45251/20336179_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20336179_nazi-luftwaffe-mess-hall-spoon-wluft-eagleswastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL NAZI DAF DEUTSCHES ARBEIT FRONT ID &amp; DUES BOOK,"Sep 25, 2013",$75,,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/45251/20336201_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20336201_original-nazi-daf-deutsches-arbeit-front-id-and-dues-book,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI 1933 TAG DER ARBEIT MEDAL-SHOWS EAGLE/SWASTIKA,"Sep 25, 2013",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20336219_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20336219_nazi-1933-tag-der-arbeit-medal-shows-eagleswastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
RARE NAZI VETERAN LEADER BLACK WOOL ARMBAND GREAT ORIG,"Sep 25, 2013",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20336247_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20336247_rare-nazi-veteran-leader-black-wool-armband-great-orig,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI RUSSIAN FRONT MEDAL EAGLE/HELMET/POTATO MASHER,"Sep 25, 2013",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20336335_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20336335_nazi-russian-front-medal-eaglehelmetpotato-masher,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
2 NAZI 1937-38 PINBACK MEDALS-NSDAP PARTY DAY &amp; MAY DAY,"Sep 25, 2013",,,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20336355_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20336355_2-nazi-1937-38-pinback-medals-nsdap-party-day-and-may-day,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI VISOR EAGLE/SWASTIKA W/IRON CROSS-MKD GES GESCH 17,"Sep 25, 2013",,,,Universal Live,https://p1.liveauctioneers.com/1011/45251/20336359_1_x.jpg?quality=80&version=1379367850,https://www.liveauctioneers.com/item/20336359_nazi-visor-eagleswastika-wiron-cross-mkd-ges-gesch-17,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
