title,date,price,cats,final_bidder,auctioneer,img,url,auctioneer_url
Nazi Soldier's Personal Note Booklet with Photos,"Dec 05, 2021",$200,Collectibles > Militaria &amp; War Memorabilia,Competing Bid,Valkyrie Historical Auctions,https://p1.liveauctioneers.com/7031/206560/116903281_1_x.jpg?quality=80&version=1636427177,https://www.liveauctioneers.com/item/116903281_nazi-soldier-s-personal-note-booklet-with-photos,https://www.liveauctioneers.com/auctioneer/7031/valkyrie-historical-auctions/
GERMAN NAZI SWASTIKA BRACELET,"May 27, 2012",$60,Jewelry,Competing Bid,Pioneer Auction Gallery,https://p1.liveauctioneers.com/1056/30074/11701275_1_x.jpg?quality=80&version=1337676807,https://www.liveauctioneers.com/item/11701275_19-german-nazi-swastika-bracelet,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/
GERMAN NAZI WOMEN'S POWDER COMPACT,"May 27, 2012",$35,"Fashion > Accessories &amp; Vanity Items > Vanity, Perfume &amp; Grooming > Cosmetic Compacts",Competing Bid,Pioneer Auction Gallery,https://p1.liveauctioneers.com/1056/30074/11701284_1_x.jpg?quality=80&version=1337676807,https://www.liveauctioneers.com/item/11701284_29-german-nazi-women-s-powder-compact,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/
GERMAN NAZI WAFFEN SS OFFICERS EAGLE RING,"May 27, 2012",$120,,Internet Bid,Pioneer Auction Gallery,https://p1.liveauctioneers.com/1056/30074/11701345_1_x.jpg?quality=80&version=1337676807,https://www.liveauctioneers.com/item/11701345_91-german-nazi-waffen-ss-officers-eagle-ring,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/
GERMAN NAZI ARMY BRONZE TANK ASSAULT BADGE,"May 27, 2012",$90,Collectibles,Competing Bid,Pioneer Auction Gallery,https://p1.liveauctioneers.com/1056/30074/11701463_1_x.jpg?quality=80&version=1337676807,https://www.liveauctioneers.com/item/11701463_209-german-nazi-army-bronze-tank-assault-badge,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/
GERMAN NAZI WAFFEN SS PORCELAIN BEER STEIN,"May 27, 2012",$400,Collectibles > Breweriana &amp; Beer Collectibles > Beer Drinkware &amp; Steins,Internet Bid,Pioneer Auction Gallery,https://p1.liveauctioneers.com/1056/30074/11701495_1_x.jpg?quality=80&version=1337676807,https://www.liveauctioneers.com/item/11701495_241-german-nazi-waffen-ss-porcelain-beer-stein,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/
GERMAN NAZI WAFFEN SS TOTENKOPF HONOR RING,"May 27, 2012",$150,,Internet Bid,Pioneer Auction Gallery,https://p1.liveauctioneers.com/1056/30074/11701536_1_x.jpg?quality=80&version=1337676807,https://www.liveauctioneers.com/item/11701536_282-german-nazi-waffen-ss-totenkopf-honor-ring,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/
GERMAN NAZI RED CROSS ENLISTED MANS BELT BUCKLE,"May 27, 2012",$35,,Internet Bid,Pioneer Auction Gallery,https://p1.liveauctioneers.com/1056/30074/11701563_1_x.jpg?quality=80&version=1337676807,https://www.liveauctioneers.com/item/11701563_309-german-nazi-red-cross-enlisted-mans-belt-buckle,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/
NAZI SS OFFICER'S BELT BUCKLE REPRODUCTION,"May 27, 2012",$50,,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/30086/11704410_1_x.jpg?quality=80&version=1337713606,https://www.liveauctioneers.com/item/11704410_nazi-ss-officer-s-belt-buckle-reproduction,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI DAF/DEUTSCHES ARBEITSWORKERS LEAGUE METAL PLAQUE,"May 27, 2012",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/30086/11704446_1_x.jpg?quality=80&version=1337713606,https://www.liveauctioneers.com/item/11704446_nazi-dafdeutsches-arbeitsworkers-league-metal-plaque,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL NAZI KRIEGSMARINE/NAVY DINING HALL TEASPOON,"May 30, 2012",,,,Universal Live,https://p1.liveauctioneers.com/1011/30119/11716240_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11716240_original-nazi-kriegsmarinenavy-dining-hall-teaspoon,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
"RARE FANTASTIC 1939 NAZI HUNTING ASSOCIATION 2"" BADGE","May 30, 2012",$155,Collectibles > Historical Memorabilia,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/30119/11716255_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11716255_rare-fantastic-1939-nazi-hunting-association-2-badge,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI WEHRMACHT BREAST EAGLE W/SWASTIKA-ORIG,"May 30, 2012",$41,Collectibles,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/30119/11716261_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11716261_nazi-wehrmacht-breast-eagle-wswastika-orig,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
RARE ORIGI NAZI BADGE OF MERIT IN THE AIRCRAFT INDUSTRY,"May 30, 2012",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/30119/11716268_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11716268_rare-origi-nazi-badge-of-merit-in-the-aircraft-industry,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI WAR MERIT MEDAL-ORIGINAL W/FULL LENGTH RIBBON,"May 30, 2012",,,,Universal Live,https://p1.liveauctioneers.com/1011/30119/11716272_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11716272_nazi-war-merit-medal-original-wfull-length-ribbon,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI S.A. SPORTS BADGE EARLY ORIGINAL,"May 30, 2012",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/30119/11716306_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11716306_nazi-sa-sports-badge-early-original,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII WARTIME ORIGINAL NAZI INFANTRY ASSAULT AWARD BADGE,"May 30, 2012",$64,Collectibles > Historical Memorabilia,Competing Bid,Universal Live,https://p1.liveauctioneers.com/1011/30119/11716326_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11716326_wwii-wartime-original-nazi-infantry-assault-award-badge,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII Nazi Original German 25 Year Service Cross,"May 30, 2012",$20,,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/30119/11716329_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11716329_wwii-nazi-original-german-25-year-service-cross,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
RARE ORIG NAZI IRON CROSS &amp; FULL RIBBON MAGNETIC CORE,"May 30, 2012",,,,Universal Live,https://p1.liveauctioneers.com/1011/30119/11716344_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11716344_rare-orig-nazi-iron-cross-and-full-ribbon-magnetic-core,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL NAZI ARMY OFFICER'S UNIFORM EAGLE AND SWASTIKA,"May 30, 2012",,"Collectibles > Coins, Currency &amp; Stamps",,Universal Live,https://p1.liveauctioneers.com/1011/30119/11716384_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11716384_original-nazi-army-officer-s-uniform-eagle-and-swastika,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI 50 YEAR HUNTING ASSOCIATION MEDAL 1888-1938,"May 30, 2012",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/30119/11716401_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11716401_nazi-50-year-hunting-association-medal-1888-1938,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII NAZI WEHRMACHT BELT BUCKLE,"May 30, 2012",,,,Universal Live,https://p1.liveauctioneers.com/1011/30119/11716419_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11716419_wwii-nazi-wehrmacht-belt-buckle,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGNIAL NAZI 1944 SPORTS EAGLE AND SWASTIKA PATCH,"May 30, 2012",,,,Universal Live,https://p1.liveauctioneers.com/1011/30119/11716420_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11716420_orignial-nazi-1944-sports-eagle-and-swastika-patch,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI 1938 NSFK BERLIN AWARD BADGE,"May 30, 2012",,,,Universal Live,https://p1.liveauctioneers.com/1011/30119/11716426_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11716426_nazi-1938-nsfk-berlin-award-badge,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
RARE NAZI WEHRMACHT DINING HALL KNIFE ORIGINAL 1938,"May 30, 2012",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/30119/11716430_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11716430_rare-nazi-wehrmacht-dining-hall-knife-original-1938,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII NAZI WAR MERIT CROSS WITH FULL RIBBON ORIG/MALTESE,"May 30, 2012",,,,Universal Live,https://p1.liveauctioneers.com/1011/30119/11716459_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11716459_wwii-nazi-war-merit-cross-with-full-ribbon-origmaltese,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL NAZI SOLDIER'S STICKPIN,"May 30, 2012",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/30119/11716473_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11716473_original-nazi-soldier-s-stickpin,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
GERMAN HUNTING ASSN 50 YR BADGE UNDER NAZI REGIME,"May 30, 2012",,,,Universal Live,https://p1.liveauctioneers.com/1011/30119/11716509_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11716509_german-hunting-assn-50-yr-badge-under-nazi-regime,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
RARE ORIG NAZI WEHRMACHT/ARMY DINING HALL SAUCER 1940,"May 30, 2012",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/30119/11716515_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11716515_rare-orig-nazi-wehrmachtarmy-dining-hall-saucer-1940,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
Nazi Tin Flags + Wood Swastika,"Dec 05, 2021",,Collectibles > Militaria &amp; War Memorabilia,,Valkyrie Historical Auctions,https://p1.liveauctioneers.com/7031/206560/117207546_1_x.jpg?quality=80&version=1636427177,https://www.liveauctioneers.com/item/117207546_nazi-tin-flags-wood-swastika,https://www.liveauctioneers.com/auctioneer/7031/valkyrie-historical-auctions/
Nazi Tin Flags + Wood Swastika,"Dec 05, 2021",,Collectibles > Militaria &amp; War Memorabilia,,Valkyrie Historical Auctions,https://p1.liveauctioneers.com/7031/206560/117207614_1_x.jpg?quality=80&version=1636427177,https://www.liveauctioneers.com/item/117207614_nazi-tin-flags-wood-swastika,https://www.liveauctioneers.com/auctioneer/7031/valkyrie-historical-auctions/
HITLER NAZI TWO BLADE POCKET KNIFE,"May 31, 2012",$75,Collectibles,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/30141/11724973_1_x.jpg?quality=80&version=1337959979,https://www.liveauctioneers.com/item/11724973_hitler-nazi-two-blade-pocket-knife,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
1934 SAAR RALLY PIN,"Dec 07, 2021",$40,Jewelry > Brooches &amp; Pins,Competing Bid,Alexander Historical Auctions LLC,https://p1.liveauctioneers.com/287/227175/117360168_1_x.jpg?quality=80&version=1637438565,https://www.liveauctioneers.com/item/117360168_1934-saar-rally-pin,https://www.liveauctioneers.com/auctioneer/287/alexander-historical-auctions-llc/
NAZI GOLD SWASTIKA BANNER,"Dec 07, 2021",$800,Collectibles > Weapons &amp; Armor,Competing Bid,Alexander Historical Auctions LLC,https://p1.liveauctioneers.com/287/227175/117360303_1_x.jpg?quality=80&version=1637438565,https://www.liveauctioneers.com/item/117360303_nazi-gold-swastika-banner,https://www.liveauctioneers.com/auctioneer/287/alexander-historical-auctions-llc/
NAZI PENNANT STRING,"Dec 07, 2021",$140,Collectibles,Competing Bid,Alexander Historical Auctions LLC,https://p1.liveauctioneers.com/287/227175/117360304_1_x.jpg?quality=80&version=1637438565,https://www.liveauctioneers.com/item/117360304_nazi-pennant-string,https://www.liveauctioneers.com/auctioneer/287/alexander-historical-auctions-llc/
ADOLF HITLER FORMAL TABLE NAPKIN RING,"Dec 08, 2021","$2,500",Home &amp; Décor > Tableware &amp; Barware > Table Accessories > Napkin Rings &amp; Holders,Competing Bid,Alexander Historical Auctions LLC,https://p1.liveauctioneers.com/287/227176/117360438_1_x.jpg?quality=80&version=1637379100,https://www.liveauctioneers.com/item/117360438_adolf-hitler-formal-table-napkin-ring,https://www.liveauctioneers.com/auctioneer/287/alexander-historical-auctions-llc/
D.A.P. GOBLET,"Dec 08, 2021","$1,100",Home &amp; Décor > Tableware &amp; Barware > Drinkware &amp; Glasses > Goblets,Competing Bid,Alexander Historical Auctions LLC,https://p1.liveauctioneers.com/287/227176/117360516_1_x.jpg?quality=80&version=1637379100,https://www.liveauctioneers.com/item/117360516_dap-goblet,https://www.liveauctioneers.com/auctioneer/287/alexander-historical-auctions-llc/
NAZI FUNERAL SASH,"Dec 08, 2021",$220,Collectibles,Competing Bid,Alexander Historical Auctions LLC,https://p1.liveauctioneers.com/287/227176/117360538_1_x.jpg?quality=80&version=1637379100,https://www.liveauctioneers.com/item/117360538_nazi-funeral-sash,https://www.liveauctioneers.com/auctioneer/287/alexander-historical-auctions-llc/
NAZI LICENCE PLATE TAG,"Dec 08, 2021",$120,Collectibles,Competing Bid,Alexander Historical Auctions LLC,https://p1.liveauctioneers.com/287/227176/117360539_1_x.jpg?quality=80&version=1637379100,https://www.liveauctioneers.com/item/117360539_nazi-licence-plate-tag,https://www.liveauctioneers.com/auctioneer/287/alexander-historical-auctions-llc/
ORIGINAL NSFK-UNIFORM INSIGNIA WWII NAZI PATCH,"May 30, 2012",,,,Universal Live,https://p1.liveauctioneers.com/1011/30119/11744927_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11744927_original-nsfk-uniform-insignia-wwii-nazi-patch,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WEHRMACHT NAZI SUMMER TUNIC OFFICERS METAL BREAST EAGLE,"May 30, 2012",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/30119/11744932_1_x.jpg?quality=80&version=1337816404,https://www.liveauctioneers.com/item/11744932_wehrmacht-nazi-summer-tunic-officers-metal-breast-eagle,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
"2 Nazi Repro Badges Eagle and Swastika, Rifle","Jun 01, 2012",$35,Collectibles > Historical Memorabilia,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/30167/11745457_1_x.jpg?quality=80&version=1337991377,https://www.liveauctioneers.com/item/11745457_2-nazi-repro-badges-eagle-and-swastika-rifle,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII NAZI GERMAN LUFTWAFFE BARRACKS SERVING TRAY,"Dec 04, 2021",$110,Home &amp; Décor > Tableware &amp; Barware > Serveware > Platters &amp; Serving Trays,Competing Bid,Milestone Auctions,https://p1.liveauctioneers.com/3324/225881/117547292_1_x.jpg?quality=80&version=1636786216,https://www.liveauctioneers.com/item/117547292_wwii-nazi-german-luftwaffe-barracks-serving-tray,https://www.liveauctioneers.com/auctioneer/3324/milestone-auctions/
NAZI STAMP COLLECTION,"Sep 10, 2005",,,,Signature House,https://p1.liveauctioneers.com/135/2728/1177325_1_x.jpg?quality=80,https://www.liveauctioneers.com/item/1177325_0319-nazi-stamp-collection,https://www.liveauctioneers.com/auctioneer/135/signature-house/
RARE GERMAN NAZI ARMY GENERALS STAFF CAR PENNANT,"Jun 16, 2012",$300,Collectibles,Internet Bid,Pioneer Auction Gallery,https://p1.liveauctioneers.com/1056/30331/11819680_1_x.jpg?quality=80&version=1339030024,https://www.liveauctioneers.com/item/11819680_92-rare-german-nazi-army-generals-staff-car-pennant,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/
GERMAN NAZI 1ST CLASS IRON CROSS AND AN IRON CROSS,"Jun 16, 2012",$170,Collectibles,Internet Bid,Pioneer Auction Gallery,https://p1.liveauctioneers.com/1056/30331/11819839_1_x.jpg?quality=80&version=1339030024,https://www.liveauctioneers.com/item/11819839_253-german-nazi-1st-class-iron-cross-and-an-iron-cross,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/
GERMAN NAZI SS SWASTIKA VIKING OFFICERS RING,"Jun 16, 2012",$130,Jewelry,Competing Bid,Pioneer Auction Gallery,https://p1.liveauctioneers.com/1056/30331/11819857_1_x.jpg?quality=80&version=1339030024,https://www.liveauctioneers.com/item/11819857_271-german-nazi-ss-swastika-viking-officers-ring,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/
GERMAN NAZI SS AND SWASTIKA POCKET KNIFE,"Jun 16, 2012",$35,Collectibles,Competing Bid,Pioneer Auction Gallery,https://p1.liveauctioneers.com/1056/30331/11819872_1_x.jpg?quality=80&version=1339030024,https://www.liveauctioneers.com/item/11819872_286-german-nazi-ss-and-swastika-pocket-knife,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/
GERMAN NAZI 1923 GENERAL GAU HONOR BADGE,"Jun 16, 2012",$170,Collectibles,Internet Bid,Pioneer Auction Gallery,https://p1.liveauctioneers.com/1056/30331/11819877_1_x.jpg?quality=80&version=1339030024,https://www.liveauctioneers.com/item/11819877_291-german-nazi-1923-general-gau-honor-badge,https://www.liveauctioneers.com/auctioneer/1056/pioneer-auction-gallery/
German Nazi metal plaque eagle and swazstika,"Jun 15, 2012",$50,,Internet Bid,Antiques at Pompey Hollow LLC,https://p1.liveauctioneers.com/1165/29632/11825210_1_x.jpg?quality=80&version=1338840505,https://www.liveauctioneers.com/item/11825210_185-german-nazi-metal-plaque-eagle-and-swazstika,https://www.liveauctioneers.com/auctioneer/1165/antiques-at-pompey-hollow-llc/
German Nazi ring w/ sword and swastika,"Jun 15, 2012",$50,,Internet Bid,Antiques at Pompey Hollow LLC,https://p1.liveauctioneers.com/1165/29632/11825230_1_x.jpg?quality=80&version=1338840505,https://www.liveauctioneers.com/item/11825230_188-german-nazi-ring-w-sword-and-swastika,https://www.liveauctioneers.com/auctioneer/1165/antiques-at-pompey-hollow-llc/
German Nazi ring w/ eagle and swastika,"Jun 15, 2012",$75,Jewelry,Internet Bid,Antiques at Pompey Hollow LLC,https://p1.liveauctioneers.com/1165/29632/11825234_1_x.jpg?quality=80&version=1338840505,https://www.liveauctioneers.com/item/11825234_192-german-nazi-ring-w-eagle-and-swastika,https://www.liveauctioneers.com/auctioneer/1165/antiques-at-pompey-hollow-llc/
WWII female Nazi sympathizer belt,"Dec 18, 2021",$90,Fashion > Accessories &amp; Vanity Items > Belts &amp; Chatelaines > Belts,Internet Bid,Mohawk Arms Inc.,https://p1.liveauctioneers.com/1022/229011/118418670_1_x.jpg?quality=80&version=1638814151,https://www.liveauctioneers.com/item/118418670_wwii-female-nazi-sympathizer-belt,https://www.liveauctioneers.com/auctioneer/1022/mohawk-arms-inc/
ORIGINAL NAZI WAR MERIT MEDAL WITH FULL RIBBON,"Jun 18, 2012",$86,Collectibles > Historical Memorabilia,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/30375/11842982_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11842982_original-nazi-war-merit-medal-with-full-ribbon,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
SET 0F 3 ORIGINAL NAZI EATING UTENSILS FORK SPOON,"Jun 18, 2012",$115,Home &amp; Décor > Tableware &amp; Barware,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/30375/11842993_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11842993_set-0f-3-original-nazi-eating-utensils-fork-spoon,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
EARLY RARE NAZI COFFEE CAN TYPE KEPI INSIGNIA,"Jun 18, 2012",$120,Collectibles,Competing Bid,Universal Live,https://p1.liveauctioneers.com/1011/30375/11842994_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11842994_early-rare-nazi-coffee-can-type-kepi-insignia,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL VERY RARE NAZI MOUNTAIN TROOPS VETERANS BADGE,"Jun 18, 2012",$150,Collectibles > Historical Memorabilia,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/30375/11843002_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11843002_original-very-rare-nazi-mountain-troops-veterans-badge,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
1942 NAZI POLICE BADGE,"Jun 18, 2012",,,,Universal Live,https://p1.liveauctioneers.com/1011/30375/11843003_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11843003_1942-nazi-police-badge,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGNIAL NAZI 1944 SPORTS EAGLE AND SWASTIKA PATCH,"Jun 18, 2012",,,,Universal Live,https://p1.liveauctioneers.com/1011/30375/11843038_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11843038_orignial-nazi-1944-sports-eagle-and-swastika-patch,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI WOMAN'S ORG BADGE-DEUTSCHES FRAUENWERK MEMBERS,"Jun 18, 2012",$30,Collectibles,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/30375/11843054_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11843054_nazi-woman-s-org-badge-deutsches-frauenwerk-members,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI S.A. SPORTS BADGE EARLY ORIGINAL,"Jun 18, 2012",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/30375/11843055_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11843055_nazi-sa-sports-badge-early-original,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
RARE ORIG NAZI IRON CROSS &amp; FULL RIBBON MAGNETIC CORE,"Jun 18, 2012",,,,Universal Live,https://p1.liveauctioneers.com/1011/30375/11843060_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11843060_rare-orig-nazi-iron-cross-and-full-ribbon-magnetic-core,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII NAZI WAR MERIT CROSS WITH FULL RIBBON ORIG/MALTESE,"Jun 18, 2012",,,,Universal Live,https://p1.liveauctioneers.com/1011/30375/11843061_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11843061_wwii-nazi-war-merit-cross-with-full-ribbon-origmaltese,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI DAF/DEUTSCHES ARBEITSWORKERS LEAGUE METAL PLAQUE,"Jun 18, 2012",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/30375/11843064_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11843064_nazi-dafdeutsches-arbeitsworkers-league-metal-plaque,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WEHRMACHT NAZI SUMMER TUNIC OFFICERS METAL BREAST EAGLE,"Jun 18, 2012",,Collectibles,,Universal Live,https://p1.liveauctioneers.com/1011/30375/11843071_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11843071_wehrmacht-nazi-summer-tunic-officers-metal-breast-eagle,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL 1932 EARLY NAZI BADGE YOUTH DAY,"Jun 18, 2012",,Collectibles > Historical Memorabilia,,Universal Live,https://p1.liveauctioneers.com/1011/30375/11843077_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11843077_original-1932-early-nazi-badge-youth-day,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI 50 YEAR HUNTING ASSOCIATION MEDAL 1888-1938,"Jun 18, 2012",$90,Collectibles > Historical Memorabilia,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/30375/11843097_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11843097_nazi-50-year-hunting-association-medal-1888-1938,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL NAZI SOLDIER'S STICKPIN,"Jun 18, 2012",$110,Collectibles,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/30375/11843107_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11843107_original-nazi-soldier-s-stickpin,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI LUFTWAFFE ORIGINAL ATHLETIC SPORT SHIRT,"Jun 18, 2012",$190,Fashion > Women's Clothing > Shirts &amp; Blouses,Competing Bid,Universal Live,https://p1.liveauctioneers.com/1011/30375/11843121_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11843121_nazi-luftwaffe-original-athletic-sport-shirt,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
RARE NAZI WEHRMACHT DINING HALL KNIFE ORIGINAL 1938,"Jun 18, 2012",$80,Collectibles,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/30375/11843142_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11843142_rare-nazi-wehrmacht-dining-hall-knife-original-1938,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
NAZI 1938 NSFK BERLIN AWARD BADGE,"Jun 18, 2012",$65,,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/30375/11843163_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11843163_nazi-1938-nsfk-berlin-award-badge,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
WWII NAZI WEHRMACHT BELT BUCKLE,"Jun 18, 2012",,,,Universal Live,https://p1.liveauctioneers.com/1011/30375/11843175_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11843175_wwii-nazi-wehrmacht-belt-buckle,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
ORIGINAL NSFK-UNIFORM INSIGNIA WWII NAZI PATCH,"Jun 18, 2012",$60,,Internet Bid,Universal Live,https://p1.liveauctioneers.com/1011/30375/11843200_1_x.jpg?quality=80&version=1339187234,https://www.liveauctioneers.com/item/11843200_original-nsfk-uniform-insignia-wwii-nazi-patch,https://www.liveauctioneers.com/auctioneer/1011/universal-live/
German Nazi  womans compact,"Jun 15, 2012",$25,"Fashion > Accessories &amp; Vanity Items > Vanity, Perfume &amp; Grooming > Cosmetic Compacts",Competing Bid,Antiques at Pompey Hollow LLC,https://p1.liveauctioneers.com/1165/29632/11875039_1_x.jpg?quality=80&version=1338840505,https://www.liveauctioneers.com/item/11875039_221-german-nazi-womans-compact,https://www.liveauctioneers.com/auctioneer/1165/antiques-at-pompey-hollow-llc/
