nazi_listings,auctioneer_url,lat,lng,address,city,zip,state
23,https://www.liveauctioneers.com/auctioneer/114/phoebus-auction-gallery/,37.018128,-76.322108,18 East Mellen Street,Hampton,23663,VA
23,https://www.liveauctioneers.com/auctioneer/4651/corbett-s-auction-house/,39.6272,-105.012,4921 S Santa Fe Dr,Littleton,80120,CO
22,https://www.liveauctioneers.com/auctioneer/942/hartzell-s-auction-gallery-inc/,40.7399,-75.1398,521 Richmond Road ,Bangor,18013,PA
22,https://www.liveauctioneers.com/auctioneer/1044/fontaine-s-auction-gallery/,42.4307,-73.3175,1485 West Housatonic St.,Pittsfield,1201,MA
22,https://www.liveauctioneers.com/auctioneer/2863/baker-s-antiques-and-auctions/,40.757,-73.1078,4770 Sunrise Hwy.,Bohemia,11716,NY
20,https://www.liveauctioneers.com/auctioneer/1301/fox-auctions/,38.033,-122.267,P.O. Box 693,Rodeo,94572,CA
20,https://www.liveauctioneers.com/auctioneer/175/alderfer-auction/,40.2718,-75.3173,501 Fairgrounds Road,Hatfield,19440,PA
19,https://www.liveauctioneers.com/auctioneer/867/flying-pig-auctions/,42.9853,-72.3781,13 Industrial Park Dr,Westmoreland ,3467,NH
19,https://www.liveauctioneers.com/auctioneer/840/dotta-auction-co-inc/,40.8022,-75.3465,330 W. Moorestown Road,Nazareth,18064,PA
18,https://www.liveauctioneers.com/auctioneer/1910/connoisseur-auctions/,34.26,-85.17,P.O. Box 849,Rome,30162,GA
18,https://www.liveauctioneers.com/auctioneer/286/forsythes-auctions-llc/,38.867,-83.7909,206 W Main St P.O. Box 188,Russellville,45168,OH
18,https://www.liveauctioneers.com/auctioneer/6320/good-old-days-antique-auction/,33.6251,-117.725,23232 PERALTA DRIVE ST# 207 ,Laguna Hills,92653,CA
17,https://www.liveauctioneers.com/auctioneer/970/mark-mattox-real-estate-and-auctioneer/,38.3326,-84.0655,3740 Maysville Road,Carlisle,40311,KY
17,https://www.liveauctioneers.com/auctioneer/1396/the-saucon-valley-auction/,40.5772,-75.4745,1901 S 12th St. 2nd Floor 2nd Floor,Allentown,18103,PA
17,https://www.liveauctioneers.com/auctioneer/3798/last-chance/,40.7537,-73.9992,Various Partner Locations,IL CA OH TX FL,,NY
16,https://www.liveauctioneers.com/auctioneer/446/cordier-auctions-and-appraisals/,40.2561,-76.864,1500 Paxton Street,Harrisburg,17104,PA
15,https://www.liveauctioneers.com/auctioneer/1479/hess-fine-auctions/,27.7838,-82.6385,1131 4th Street N,St Petersburg,33701,FL
15,https://www.liveauctioneers.com/auctioneer/1030/louis-j-dianni-llc/,26.6779,-80.0723,11110 W Oakland Pk Blvd Suite 314,Sunrise,33351,FL
15,https://www.liveauctioneers.com/auctioneer/5647/ole-hound-auction-house/,33.5949,-83.7487,179 Hwy. 11 South ,Social Circle,30025,GA
15,https://www.liveauctioneers.com/auctioneer/5322/blackwell-auctions/,27.874,-82.707,5251 110th Ave N Suite 118,Clearwater,33760,FL
14,https://www.liveauctioneers.com/auctioneer/7302/gold-eagle-auctions/,37.8817,-122.188,21 Orinda Way #552,Orinda,94563,CA
14,https://www.liveauctioneers.com/auctioneer/989/seized-assets-auctioneers/,34.2252,-119.024,725 Via Alondra,Camarillo,93012,CA
14,https://www.liveauctioneers.com/auctioneer/686/midwest-auction-galleries-inc/,42.839139,-83.274539,925 N. Lapeer Road,Oxford,48371,MI
14,https://www.liveauctioneers.com/auctioneer/6266/kamy-inc/,25.81,-80.3248,3901 NW 79TH Ave,Miami,33166,FL
14,https://www.liveauctioneers.com/auctioneer/351/the-cobbs-auctioneers-llc/,42.8597,-71.962,at Historic Noone Falls Mill 50 Jaffrey Road,Peterborough,3458,NH
14,https://www.liveauctioneers.com/auctioneer/4247/sofe-design-auctions-llc/,32.9457,-96.7356,401 S. Sherman St. Ste. # 221,Richardson,75081,TX
14,https://www.liveauctioneers.com/auctioneer/2211/miami-auction-gallery/,25.734,-80.3801,11455 sw 40th st. Suite # 208,Miami,33165,FL
13,https://www.liveauctioneers.com/auctioneer/7316/cny-militaria-and-collectibles-auctions-llc/,42.9931,-76.0719,PO Box 774 6499 E. Seneca Turnpike,Jamesville,13078,NY
13,https://www.liveauctioneers.com/auctioneer/6125/ross-auction-company/,39.332861,-82.983916,50 west main st,Chillicothe,45601,OH
13,https://www.liveauctioneers.com/auctioneer/3058/sabertooth-auctions/,36.6175,-88.3253,804 Coldwater Rd,Murray,42071,KY
13,https://www.liveauctioneers.com/auctioneer/610/nette-auctions/,41.407483,-73.469648,45 West St Lower Level-Rear,Danbury,6810,CT
12,https://www.liveauctioneers.com/auctioneer/523/alex-cooper/,39.4079,-76.6079,908 York Road,Towson,21204,MD
12,https://www.liveauctioneers.com/auctioneer/301/john-mcinnis-auctioneers-llc/,42.8565,-70.9311,76 Main Street,Amesbury,1913,MA
12,https://www.liveauctioneers.com/auctioneer/3807/lemar-auctions-and-estate-services/,38.6489,-121.417,4522 Parker Avenue Suite 500,McClellan,95652,CA
12,https://www.liveauctioneers.com/auctioneer/7015/toystrainsandotheroldstuff-llc/,40.6089,-87.3605,1951 W Division Rd,Fowler,47944,IN
12,https://www.liveauctioneers.com/auctioneer/431/national-book-auctions/,42.429387,-76.497421,1429 Danby Road,Ithaca,14850-6071,NY
12,https://www.liveauctioneers.com/auctioneer/690/desert-west-auction/,32.841196,-107.960726,3870 North Highway 35 PO Box 77,Mimbres,88049,NM
11,https://www.liveauctioneers.com/auctioneer/1290/estate-auction-company/,26.052,-80.1441,6 S. Federal Hwy,Dania Beach,33004,FL
11,https://www.liveauctioneers.com/auctioneer/7060/gun-auctions-usa/,27.893,-82.7476,13200 Belcher Rd South,Largo,33773,FL
11,https://www.liveauctioneers.com/auctioneer/275/john-coker-ltd/,36.0895,-83.5878,508 Union Ave. Unit 206,Knoxville,37902,TN
11,https://www.liveauctioneers.com/auctioneer/700/central-street-antiques-and-auction/,41.852,-72.6437,25 Central Street,Windsor,6095,CT
11,https://www.liveauctioneers.com/auctioneer/3195/ye-olde-auction-block/,34.4103,-118.912,408 ARUNDELL CIR,FILLMORE,93015,CA
11,https://www.liveauctioneers.com/auctioneer/4561/wrights-estate-liquidations/,38.5644,-121.357,9220 Vancouver Drive,Sacramento,95826,CA
11,https://www.liveauctioneers.com/auctioneer/5847/americana-auctions/,41.844,-71.2608,380 Winthrop Street,Rehoboth,2769,MA
